# Copyright © 2012, Stanford University. All rights reserved.
#
# Authors:
#    Jonathan R Karr, jkarr@stanford.edu
#    Jayodita C Sanghvi, jayodita@stanford.edu
#    Derek N Macklin, macklin@stanford.edu
#    Jared M Jacobs, jmjacobs@stanford.edu
#    Markus W Covert, mcovert@stanford.edu
#
# Affiliation:
#    Covert Lab
#    Department of Bioengineering
#    Stanford University
#    http://covertlab.stanford.edu
#
# The format of this file is defined at http://bioinformatics.ai.sri.com/ptools/flatfile-format.html.
#
# Species: Mycoplasma genitalium G37
# Database: MGEN243273cyc
# Version: 16.0
# File Name: compound-links.dat
# Date and time generated: March 29, 2012, 18:01:32
#
C23CMP		C1(=CC(N)=NC(=O)N1C3(OC(CO)C2(OP(=O)([O-])OC23)))	2',3'-Cyclic CMP	4-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-6-(hydroxymethyl)-2-oxo-tetrahydro-2H-1,3,5,2$l^{5}-furo[3,4-d][1,3,2$l^{5}]dioxaphosphol-2-olate	4-(4-amino-2-oxopyrimidin-1-yl)-6-(hydroxymethyl)-2-oxo-tetrahydro-1,3,5,2$l^{5}-furo[3,4-d][1,3,2$l^{5}]dioxaphosphol-2-olate
C3MP		NC1=NC(=O)N(C=C1)C1OC(CO)C(OP([O-])([O-])=O)C1O	3'-CMP	[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate	[5-(4-amino-2-oxopyrimidin-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] phosphate
c5dU		C1C(C(OC1N2C=C(C(=O)NC2=O)C(=O)O)CO)O	5-Carbouy-2'-deoxyuridine	1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylic acid	1-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-2,4-dioxo-3H-pyrimidine-5-carboxylic acid
c5dUMP		OC1CC(OC1COP([O-])([O-])=O)N1C=C(C(O)=O)C(=O)NC1=O	5-Carbouy-2'-deoxyuridine monophosphate	[5-(5-carboxy-2,4-dioxo-1,2,3,4-tetrahydropyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl phosphate	[5-(5-carboxy-2,4-dioxo-3H-pyrimidin-1-yl)-3-hydroxyoxolan-2-yl]methyl phosphate
c5URA		N1C=C(C(=O)NC1=O)C(=O)O	5-Carbouyuracil	2,4-dioxo-1,2,3,4-tetrahydropyrimidine-5-carboxylic acid	steviolbioside
CA		[Ca++]	calcium ion	calcium	ca(2+)
CAP		NC(=O)OP([O-])([O-])=O	carbamoyl phosphate	(carbamoyloxy)phosphonate	(carbamoyloxy)phosphonate
carbamoylmethyl6AD		NC(=O)CNC1=NC=NC2=C1N=CN2	N6-carbamoylmethyladenine	2-(9H-purin-6-ylamino)acetamide	2-(9H-purin-6-ylamino)acetamide
carbamoylmethyl6dA		C1C(C(OC1N2C=NC3=C2N=CN=C3NCC(=O)N)CO)O	N6-carbamoylmethyl-2'-deoxyadenosine	2-({9-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-9H-purin-6-yl}amino)acetamide	2-({9-[4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]purin-6-yl}amino)acetamide
carbamoylmethyl6dAMP		NC(=O)CNC1=NC=NC2=C1N=CN2C1CC(O)C(COP([O-])([O-])=O)O1	N6-carbamoylmethyl-2'-deoxyadenosine monophosphate	(5-{6-[(carbamoylmethyl)amino]-9H-purin-9-yl}-3-hydroxyoxolan-2-yl)methyl phosphate	(5-{6-[(carbamoylmethyl)amino]purin-9-yl}-3-hydroxyoxolan-2-yl)methyl phosphate
CDP		NC1=NC(=O)N(C=C1)C1OC(COP([O-])(=O)OP([O-])([O-])=O)C(O)C1O	CDP	[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl (phosphonatooxy)phosphonate	[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl (phosphonatooxy)phosphonate
CDPDG120		CCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCCCCC	CDP-1,2-didodecanoylglycerol	[2,3-bis(dodecanoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(dodecanoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
CDPDG140		CCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCCCCCCC	CDP-1,2-ditetradecanoylglycerol	[2,3-bis(tetradecanoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(tetradecanoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
CDPDG141		CCCCCCC=CCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCC=CCCCCCC	CDP-1,2-ditetradec-7-enoylglycerol	[2,3-bis(tetradec-7-enoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(tetradec-7-enoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
CDPDG160		CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCCCCCCCCC	CDP-1,2-dihexadecanoylglycerol	[2,3-bis(hexadecanoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(hexadecanoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
CDPDG161		CCCCCCC=CCCCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCC=CCCCCCC	CDP-1,2-dihexadec-9-enoylglycerol	[2,3-bis(hexadec-9-enoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(hexadec-9-enoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
CDPDG180		CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCCCCCCCCCCC	CDP-1,2-dioctadecanoylglycerol	[2,3-bis(octadecanoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(octadecanoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
CDPDG181		CCCCCCC=CCCCCCCCCCC(=O)OCC(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1O)N1C=CC(N)=NC1=O)OC(=O)CCCCCCCCCC=CCCCCCC	CDP-1,2-dioctadec-11-enoylglycerol	[2,3-bis(octadec-11-enoyloxy)propyl] ({[5-(4-amino-2-oxo-1,2-dihydropyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	[2,3-bis(octadec-11-enoyloxy)propyl] ({[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate
cephalosporin_C		CC(=O)OCC1=C(N2[C@@H](SC1)[C@H](NC(=O)CCC[C@H]([NH3+])C(O)=O)C2=O)C(O)=O	cephalosporin C
Ceramide16		[H][C@@](O)(\C=C\CCCCCCCCCCCCC)[C@]([H])(CO)NC(=O)CCCCCCCCCCCCCCC	Ceramide (d18:1/16:0)	N-[(2S,3R,4E)-1,3-dihydroxyoctadec-4-en-2-yl]hexadecanamide	N-[(2S,3R,4E)-1,3-dihydroxyoctadec-4-en-2-yl]hexadecanamide
CH3		[CH3]	Methyl radical	methyl	(CH)(.)
CH3OH		CO	methanol	methanol	methanol
chloramphenicol		OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O	chloramphenicol
chloroacetaldehyde		C(C=O)Cl	chloroacetaldehyde	2-chloroacetaldehyde	chloroacetaldehyde
chloroethylene_oxide		C1C(O1)Cl	chloroethylene oxide	2-chlorooxirane	chloroethylene oxide
CHOL		C[N+](C)(C)CCO	choline	(2-hydroxyethyl)trimethylazanium	choline
CHP		CC(C)(C1=CC=CC=C1)OO	cumene hydroperoxide	2-phenylpropane-2-peroxol	cumene hydroperoxide
ciprofloxacin		C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O	ciprofloxacin	1-cyclopropyl-6-fluoro-4-oxo-7-(piperazin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid	cipro
CITR		C(CC(C(=O)O)N)CNC(=O)N	L-citrulline	2-amino-5-(carbamoylamino)pentanoic acid	citrulline
CL		[Cl-]	chloride ion	chloride	cl(-)
CL160		CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC(O)COP([O-])(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	cardiolipin (tetrahexadecanoyl, n-C16:0)	1-({[3-({[2,3-bis(hexadecanoyloxy)propyl] phosphonato}oxy)-2-hydroxypropyl] phosphonato}oxy)-3-(hexadecanoyloxy)propan-2-yl hexadecanoate	1-({[3-({[2,3-bis(hexadecanoyloxy)propyl] phosphonato}oxy)-2-hydroxypropyl] phosphonato}oxy)-3-(hexadecanoyloxy)propan-2-yl hexadecanoate
CL161		CCCCCCC=CCCCCCCCC(=O)OCC(COP([O-])(=O)OCC(O)COP([O-])(=O)OCC(COC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC)OC(=O)CCCCCCCC=CCCCCCC	cardiolipin (tetrahexadec-9-enoyl, n-C16:1)	1-({[3-({[2,3-bis(hexadec-9-enoyloxy)propyl] phosphonato}oxy)-2-hydroxypropyl] phosphonato}oxy)-3-(hexadec-9-enoyloxy)propan-2-yl hexadec-9-enoate	1-({[3-({[2,3-bis(hexadec-9-enoyloxy)propyl] phosphonato}oxy)-2-hydroxypropyl] phosphonato}oxy)-3-(hexadec-9-enoyloxy)propan-2-yl hexadec-9-enoate
